file,label,duration,rms_mean,rms_std,zcr_mean,zcr_std,crest_mean,crest_std,centroid_mean,centroid_std,rolloff_mean,rolloff_std,energy_low_sum,energy_mid_sum,energy_high_sum,qratio_mean,qratio_std,chunks_processed
C:\Users\HP\Q-EARD\Med_Voice_Dataset\archive\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\101_1b1_Al_sc_Meditron.wav,unknown,20.0,0.05993602890521288,0.00732340597682293,0.0021224874827661276,0.0001795859323817514,5.644612371452021,0.5629782376605048,127.43499580969498,49.38723912277759,146.20000000000002,69.62729349902953,258132.875,10768.016967773438,7063.248687744141,1.665656016845908,0.020172527133938994,8
C:\Users\HP\Q-EARD\Med_Voice_Dataset\archive\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\101_1b1_Pr_sc_Meditron.wav,unknown,20.0,0.036367060616612434,0.004736173686977638,0.0018911907699005878,0.0002774656325365073,3.4809958902859823,0.32179273471588343,120.41508214509385,35.36962180281833,115.80000000000001,49.37853784793551,117396.10546875,6471.723419189453,3308.60205078125,1.647998942414801,0.035715352270950705,8
C:\Users\HP\Q-EARD\Med_Voice_Dataset\archive\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\102_1b1_Ar_sc_Meditron.wav,unknown,20.0,0.02357018692418933,0.0036349767988751724,0.0022880233655032294,0.0003835890171912069,3.720795463110173,0.45211280625904904,179.55994283502355,38.33665737440962,244.75,52.97034547744615,79480.056640625,7788.815734863281,3515.082260131836,1.6811546373083857,0.014578599523715338,8
C:\Users\HP\Q-EARD\Med_Voice_Dataset\archive\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\103_2b2_Ar_mc_LittC2SE.wav,unknown,20.0,0.2781021408736706,0.03676069021412874,0.0011111312676873957,0.000121608443489151,3.3236211626220964,0.36261249293707276,142.61942918016905,55.6021478621309,104.80000000000001,104.23070564857557,587187.109375,30670.725830078125,26301.568725585938,1.6425777821353014,0.0260769804128428,8
C:\Users\HP\Q-EARD\Med_Voice_Dataset\archive\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\104_1b1_Al_sc_Litt3200.wav,unknown,15.856009070294785,0.0866893008351326,0.0,0.00676440976591996,0.0,11.546152933011898,0.0,219.84253611565785,0.0,537.1465141222737,0.0,891152.75,342112.875,2695.559326171875,1.7202596076798127,0.0,1
C:\Users\HP\Q-EARD\Med_Voice_Dataset\archive\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\104_1b1_Ar_sc_Litt3200.wav,unknown,25.584036281179138,0.06380655616521835,0.0,0.007563899618348351,0.0,15.718229778906341,0.0,232.76075538820797,0.0,538.5780354813093,0.0,1556775.0,536124.9375,6684.91015625,1.7484489492505602,0.0,1
C:\Users\HP\Q-EARD\Med_Voice_Dataset\archive\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\104_1b1_Ll_sc_Litt3200.wav,unknown,18.48,0.03852209076285362,0.0,0.003821018300149945,0.0,26.015390260810957,0.0,169.44834285170106,0.0,407.73809523809524,0.0,471267.8125,100571.4375,2254.310302734375,1.8017876441525156,0.0,1
C:\Users\HP\Q-EARD\Med_Voice_Dataset\archive\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\104_1b1_Lr_sc_Litt3200.wav,unknown,15.024036281179137,0.0981803685426712,0.0,0.0025054410330869145,0.0,10.186299634137708,0.0,109.6422433200401,0.0,198.28226877565803,0.0,665623.5625,76346.75,3671.01171875,1.7118963281691826,0.0,1
C:\Users\HP\Q-EARD\Med_Voice_Dataset\archive\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\104_1b1_Pl_sc_Litt3200.wav,unknown,22.96,0.08419147878885269,0.0,0.006093622535144499,0.0,12.06628289623826,0.0,219.35558107235985,0.0,512.5,0.0,1665708.5,647709.0,6103.4931640625,1.7331606108718796,0.0,1
C:\Users\HP\Q-EARD\Med_Voice_Dataset\archive\Respiratory_Sound_Database\Respiratory_Sound_Database\audio_and_txt_files\104_1b1_Pr_sc_Litt3200.wav,unknown,23.728027210884353,0.07795374095439911,0.0,0.004982779117816828,0.0,12.907568872104813,0.0,223.26560631577144,0.0,502.61237034191316,0.0,1606561.125,547683.5,10401.533203125,1.7268827096901758,0.0,1
