freq,psd,S_P_NV_freq,SNR_linear,SNR_dB
0.0,0.00029210627,1303.1421363190973,2.241553184268988e-07,-66.49450952376807
10.7666015625,0.0015064857,1303.1421363190973,1.1560410931985783e-06,-59.37026727998369
21.533203125,0.0012881575,1303.1421363190973,9.885010899379814e-07,-60.05022847489621
32.2998046875,0.00066029927,1303.1421363190973,5.066978090023604e-07,-62.95250973625733
43.06640625,0.00031522577,1303.1421363190973,2.4189671316929076e-07,-66.16370032680443
53.8330078125,0.00018600255,1303.1421363190973,1.4273390500782938e-07,-68.45472852331665
64.599609375,9.206e-05,1303.1421363190973,7.064463982719437e-08,-71.50920784725315
75.3662109375,3.9545535e-05,1303.1421363190973,3.0346297565556485e-08,-75.17894287947344
86.1328125,1.8908317e-05,1303.1421363190973,1.4509786988957733e-08,-78.38338963179031
96.8994140625,1.0821983e-05,1303.1421363190973,8.304529228116706e-09,-80.80684982047762
107.666015625,6.563361e-06,1303.1421363190973,5.036565545473404e-09,-82.97865509801636
118.4326171875,4.9110326e-06,1303.1421363190973,3.768608937651138e-09,-84.23818926236173
129.19921875,4.3613422e-06,1303.1421363190973,3.3467890098981903e-09,-84.75371665809311
139.9658203125,4.327297e-06,1303.1421363190973,3.3206639545605747e-09,-84.7877507202713
150.732421875,3.984539e-06,1303.1421363190973,3.0576392773436855e-09,-85.14613751461201
161.4990234375,3.780467e-06,1303.1421363190973,2.9010395225086437e-09,-85.3744635451671
172.265625,3.7847167e-06,1303.1421363190973,2.904300748778031e-09,-85.36958413188266
183.0322265625,3.4076663e-06,1303.1421363190973,2.614961529747224e-09,-85.82534695913876
193.798828125,2.7527958e-06,1303.1421363190973,2.1124294361070423e-09,-86.75217789370541
204.5654296875,2.337533e-06,1303.1421363190973,1.7937667486657964e-09,-87.46234030831103
215.33203125,1.8336123e-06,1303.1421363190973,1.4070700411393722e-09,-88.5168428371434
226.0986328125,1.5405476e-06,1303.1421363190973,1.1821793427970946e-09,-89.27316633709525
236.865234375,1.4084877e-06,1303.1421363190973,1.0808397593609659e-09,-89.6623868790028
