,name,classical,quantum
0,205_2b3_Ll_mc_AKGC417L.wav,"[{'freq': 12.55, 'mag': 4094.3452502946866}, {'freq': 20.5, 'mag': 3469.967645268512}, {'freq': 26.75, 'mag': 3425.694879670443}, {'freq': 23.0, 'mag': 3417.2694630988476}, {'freq': 24.25, 'mag': 3268.500597654853}]","[{'freq': 12.55, 'mag': 4094.3466433432504}, {'freq': 20.5, 'mag': 3469.9688154887604}, {'freq': 26.75, 'mag': 3425.695936394185}, {'freq': 23.0, 'mag': 3417.270561445915}, {'freq': 24.25, 'mag': 3268.501559306673}]"
1,151_3p2_Pr_mc_AKGC417L.wav,"[{'freq': 7.95, 'mag': 5332.460944446804}, {'freq': 6.2, 'mag': 4808.843875534246}, {'freq': 9.600000000000001, 'mag': 3417.2473538691675}, {'freq': 12.100000000000001, 'mag': 3035.88431592691}, {'freq': 11.05, 'mag': 2689.454505147807}]","[{'freq': 7.95, 'mag': 5332.462804351526}, {'freq': 6.2, 'mag': 4808.84541514123}, {'freq': 9.600000000000001, 'mag': 3417.248377958069}, {'freq': 12.100000000000001, 'mag': 3035.885348170748}, {'freq': 11.05, 'mag': 2689.4554475674695}]"
2,169_1b2_Ll_sc_Meditron.wav,"[{'freq': 26.75, 'mag': 463.6428620439235}, {'freq': 29.25, 'mag': 429.18309044122526}, {'freq': 25.35, 'mag': 388.7874136958091}, {'freq': 33.15, 'mag': 379.30577020652726}, {'freq': 27.900000000000002, 'mag': 376.7810431272831}]","[{'freq': 26.75, 'mag': 463.6430139386169}, {'freq': 29.25, 'mag': 429.1832226337967}, {'freq': 25.35, 'mag': 388.787546364908}, {'freq': 33.15, 'mag': 379.3058804110874}, {'freq': 27.900000000000002, 'mag': 376.7811671797462}]"
3,178_1b2_Lr_mc_AKGC417L.wav,"[{'freq': 10.950000000000001, 'mag': 2039.3231697132903}, {'freq': 9.450000000000001, 'mag': 2015.1987894363356}, {'freq': 5.300000000000001, 'mag': 1796.7452975510682}, {'freq': 15.4, 'mag': 1680.8012480157436}, {'freq': 14.25, 'mag': 1680.5853533217542}]","[{'freq': 10.950000000000001, 'mag': 2039.3238137512562}, {'freq': 9.450000000000001, 'mag': 2015.1994656358095}, {'freq': 5.300000000000001, 'mag': 1796.7459176154775}, {'freq': 15.4, 'mag': 1680.8017761238007}, {'freq': 14.25, 'mag': 1680.5858854216033}]"
4,178_1b2_Tc_mc_AKGC417L.wav,"[{'freq': 11.4, 'mag': 2583.7339571162843}, {'freq': 50.0, 'mag': 2337.127218996551}, {'freq': 16.5, 'mag': 2308.5023095176093}, {'freq': 21.6, 'mag': 2242.983914831509}, {'freq': 12.75, 'mag': 2238.252346616724}]","[{'freq': 11.4, 'mag': 2583.7348031623283}, {'freq': 50.0, 'mag': 2337.128205440482}, {'freq': 16.5, 'mag': 2308.5030404895147}, {'freq': 21.6, 'mag': 2242.9846338788434}, {'freq': 12.75, 'mag': 2238.2531350350428}]"
5,207_2b2_Al_mc_AKGC417L.wav,"[{'freq': 17.95, 'mag': 2424.794446996573}, {'freq': 19.0, 'mag': 1577.8082709854468}, {'freq': 14.700000000000001, 'mag': 1491.7883624219003}, {'freq': 21.150000000000002, 'mag': 1322.3491384004792}, {'freq': 22.200000000000003, 'mag': 1261.8681034784397}]","[{'freq': 17.95, 'mag': 2424.7952251869983}, {'freq': 19.0, 'mag': 1577.808790218769}, {'freq': 14.700000000000001, 'mag': 1491.7888535116467}, {'freq': 21.150000000000002, 'mag': 1322.3495947129616}, {'freq': 22.200000000000003, 'mag': 1261.8685067166275}]"
6,188_1b1_Al_sc_Meditron.wav,"[{'freq': 18.45, 'mag': 1008.2940120565953}, {'freq': 7.9, 'mag': 918.3281380843174}, {'freq': 5.300000000000001, 'mag': 728.8003368327253}, {'freq': 10.55, 'mag': 723.2202444025309}, {'freq': 12.4, 'mag': 713.1179089498946}]","[{'freq': 18.45, 'mag': 1008.294341003081}, {'freq': 7.9, 'mag': 918.3284454401359}, {'freq': 5.300000000000001, 'mag': 728.8005837792825}, {'freq': 10.55, 'mag': 723.2204879285778}, {'freq': 12.4, 'mag': 713.1181407038227}]"
7,106_2b1_Pl_mc_LittC2SE.wav,"[{'freq': 108.7, 'mag': 285.10913197846224}, {'freq': 124.10000000000001, 'mag': 271.03523451837015}, {'freq': 84.65, 'mag': 238.90568471390074}, {'freq': 42.5, 'mag': 232.9154163123005}, {'freq': 121.60000000000001, 'mag': 229.43584574629483}]","[{'freq': 108.7, 'mag': 285.0017671474772}, {'freq': 124.10000000000001, 'mag': 270.8465663683238}, {'freq': 84.65, 'mag': 238.910787333846}, {'freq': 42.5, 'mag': 232.91546361595192}, {'freq': 121.60000000000001, 'mag': 229.3174855441899}]"
8,130_3p2_Al_mc_AKGC417L.wav,"[{'freq': 44.650000000000006, 'mag': 2688.246223903831}, {'freq': 4.65, 'mag': 2410.502351727577}, {'freq': 47.75, 'mag': 2407.9907610836876}, {'freq': 41.550000000000004, 'mag': 2307.4492231452373}, {'freq': 5.65, 'mag': 2287.289110535634}]","[{'freq': 44.650000000000006, 'mag': 2688.2503018256707}, {'freq': 4.65, 'mag': 2410.503177489328}, {'freq': 47.75, 'mag': 2407.988179945207}, {'freq': 41.550000000000004, 'mag': 2307.452191514853}, {'freq': 5.65, 'mag': 2287.289862537403}]"
9,151_2p2_Ll_mc_AKGC417L.wav,"[{'freq': 7.2, 'mag': 4112.5662982449285}, {'freq': 84.05000000000001, 'mag': 2951.0701296823554}, {'freq': 3.6, 'mag': 2823.5865505930415}, {'freq': 4.7, 'mag': 2554.90995412082}, {'freq': 25.75, 'mag': 2475.8188843039184}]","[{'freq': 7.2, 'mag': 4112.567613848687}, {'freq': 84.05000000000001, 'mag': 2950.9084390322996}, {'freq': 3.6, 'mag': 2823.5875556064198}, {'freq': 4.7, 'mag': 2554.9109235712544}, {'freq': 25.75, 'mag': 2475.8196864373867}]"
