label,rms,zcr,crest,spectral_centroid,spectral_rolloff,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,quantum_enhancement_ratio,squeezing_eff,energy_low,energy_mid,energy_high
normal,0.13907996842095105,0.22,3.335862345895482,4955.141744976091,9163.57421875,-85.30332726238083,4.8469711715043164,4.839794081036205,5.152692986487452,8.352187266673136,4.8297465460868025,8.241799950967565,4.428883358026481,7.360137239159086,4.132199353702647,6.7621577323271955,4.31641386045983,5.724069747092356,4.62333475746784,4.495511725098791,3.7919772329352464,4.18723262159775,3.3966086900061967,3.7488559289639847,3.2973200698464544,2.2945200947152893,2.9237370364646957,1.1639173187816736,2.8031488231755852,-0.3733746074242998,2.981080974332544,1.836839432606875,-0.5981440631233073,38871.969369506725,66373.53468021353,722463.3133040216
normal,0.13914615987006737,0.21976417233560092,3.284248833712413,4959.0501000590375,9176.484171549479,-85.4420901102103,4.337969819762664,4.858457119383587,5.009099787119402,8.0923147730836,4.6193457804479765,8.15094218526843,4.918733291082335,7.756060352667852,4.4194580958090075,6.489220149027732,4.391203693791204,5.547577139565215,4.2191206631817115,4.987203147132643,3.9954096954496845,3.9455863710104286,3.630008355621566,2.561194920568227,3.2466435703458068,1.8063362301061945,3.081710589429619,0.955567745973771,3.0285259495069607,0.10723409673111527,2.691718509813673,1.8368257278106759,-0.5974413608573628,38514.24800414461,66124.14328944209,722559.4649392471
normal,0.13890989010488192,0.22071655328798187,3.5128303714868983,4972.473121919827,9175.138346354166,-85.47723963361165,4.454387744936821,4.743692894969578,5.060199330982091,8.692899142596808,5.084854204527825,7.89589279632305,5.195956380278867,7.352286885393676,4.685205541088464,6.738111568109586,4.349759602452426,5.564066302670677,4.230770057170201,4.802880013812108,3.7727892829973957,4.301270404385668,3.662349851265872,3.0094083776558453,3.1643527165616336,1.9238812144124935,3.086920023517184,1.3230736774803118,3.163939014837282,0.1377853989437914,3.140120007789764,1.8368712226444526,-0.598125271427628,38743.08425561498,66682.90781522173,723611.0623410107
normal,0.13928986781373057,0.21882086167800455,3.3545010921714344,4981.697077701817,9201.955159505209,-85.74261205412033,4.052162270666171,4.144593352589102,4.738958754469529,8.327464713926988,4.533444348978126,8.18996673260231,4.405304998770431,7.949257563965692,4.355761944194448,7.228710140012438,4.593365427544553,6.706635123249096,4.287921212853283,5.478746427923307,4.227221501580008,4.695599044354419,3.8642142742999885,3.431613743791077,3.0650611157973513,2.7567600937211982,3.0684944117284854,0.8757322557498839,2.721894848610462,0.075112147823914,2.944032021794491,1.8368465300247723,-0.5978907682988431,39241.45751161433,65385.804268054686,724599.4205165347
normal,0.1393629062178877,0.21751473922902495,3.434747096662158,4959.988245000451,9176.7333984375,-85.3842079223796,4.3598961737870585,4.600147583655526,4.938730527779913,8.233070289206603,5.2533562803446525,8.372812567776691,4.720447146870858,7.502236164432198,4.3675894904771715,6.237948323331306,4.583638511097391,5.739992621569867,4.044417966058089,5.240944113613504,3.8407233226706774,4.253514781255707,3.661603312904291,2.995999022786545,3.5378120758175933,2.270922987549678,3.0706416377529617,1.4121258404534918,2.8817477055749032,0.43549715394284083,2.786367012688163,1.8368346949600804,-0.5978759328061407,38563.914366157944,66198.57397853825,723484.0263963321
normal,0.13927111940454806,0.21906575963718822,3.6196811767527044,4968.440644373123,9172.895304361979,-85.49757622589095,4.229196109389421,4.5189403779940625,4.510236308086449,8.305873830100596,4.801619674582875,7.861625512390684,4.967972462582282,7.713012777955942,4.970205257143787,6.9666806359776725,4.5748534916162855,5.568676567659049,4.222570618546655,5.1547891454269275,3.372697881376618,4.160555895419825,3.2574164467348363,3.0193367047002746,3.161305106763143,1.728867995685968,3.1295587395738256,0.8190740375343327,2.7030140042675606,-0.24241811213543263,3.077298809288395,1.836846433050874,-0.5980203097460178,38686.714309199706,65753.71180804938,724243.25630918
normal,0.139168090738811,0.21898412698412698,3.68538574014086,4958.250951997092,9166.216023763021,-85.7973727960366,4.629903696902074,4.581128217010438,5.160811916430474,8.216182761226033,4.655486534240588,8.251939907609446,4.894289011361091,7.637463510259046,4.335713993648292,7.0346900061941104,3.9239632357495706,6.040809122432212,4.123952614590411,5.131033952074745,3.8995822417653403,4.0840470489253216,3.60177729409935,2.5905302166410595,3.35164963468682,1.4814304750764549,3.190185119924458,0.683321640197549,2.7047482036610515,-0.525880778004963,2.829194939551189,1.836810723256401,-0.5974659276386457,38743.45793788192,66048.84418842639,720907.1658685281
normal,0.13937196092869739,0.21853061224489795,3.282654271655503,4957.055723720166,9155.748494466146,-85.55205577824903,4.642692587332851,4.173465127885929,5.31201475707976,7.210801802452784,4.55097412424764,7.700369536090199,4.129582029201133,7.611692409978359,4.2113659559966425,6.914067313413065,4.342475369575496,5.815112028305767,4.525930841380791,4.859865654059568,4.108245463054645,3.815223258638818,3.5402783882994884,2.800042426206516,3.152862382931827,1.84398415987535,3.0980054837072286,1.2145244274399938,2.837234805095417,-0.03804893208242771,2.622823693786832,1.8368294537095369,-0.5976242940883573,38262.151185693154,65794.2713801165,723303.8737894804
normal,0.13919799791210158,0.21859410430839002,3.646117414082521,4963.109112585704,9165.468343098959,-85.54019565635492,4.482344211123702,4.69137986703159,5.002130865360554,8.44801320227022,4.719024035138982,8.620837163404289,4.842907505993347,7.728432515809214,4.4967591368268325,6.481287657253454,4.214867093415383,5.953181566960582,3.724455063836163,5.361643608036591,3.6694698643157593,4.389405885578465,3.7524037202978335,3.4112419105644256,3.559371594642986,1.9122395522510152,3.434796542446684,0.5963831442786472,2.8911634155357975,-0.6632714409220305,3.000426215548057,1.8368335557444029,-0.5978839771888909,38862.838577726296,66370.75992030402,721820.3544543008
normal,0.13935428756121973,0.21895691609977325,3.4045062243747726,4971.691634877408,9185.306803385416,-85.14503710936243,4.1036940439099014,4.2972571910815205,4.385278444738364,8.048815433459474,4.713399917047138,8.0961475444938,4.444333678669905,7.489241430600815,4.255064765897339,6.4523089676636225,4.380938095675486,5.907651493237025,4.025827598977477,5.369419856197628,3.701259427909792,3.8791567074547086,3.8276214382804317,2.8742831466736525,3.376065286187758,2.400209928380554,2.937469479158406,0.9292389038249587,2.9943766704974166,0.04510906216594629,2.617862322235631,1.8368771536691024,-0.5982840406739304,37989.896983511775,66712.80063274238,727278.880714275
