freq,psd,S_P_NV_freq,SNR_linear,SNR_dB
0.0,0.0002995419,1303.1421363190973,2.298612357024095e-07,-66.3853426291956
10.7666015625,0.0013898821,1303.1421363190973,1.0665621369257532e-06,-59.720138378818
21.533203125,0.0017664196,1303.1421363190973,1.355508111845697e-06,-58.67897879102099
32.2998046875,0.0022435263,1303.1421363190973,1.7216282225847181e-06,-57.64060626582743
43.06640625,0.00184604,1303.1421363190973,1.4166068933978626e-06,-58.48750649197682
53.8330078125,0.00088345923,1303.1421363190973,6.779454547120233e-07,-61.68805246649921
64.599609375,0.00041731604,1303.1421363190973,3.202383146015916e-07,-64.94526708567311
75.3662109375,0.00019085308,1303.1421363190973,1.4645607545133627e-07,-68.34292607729311
86.1328125,0.000109988316,1303.1421363190973,8.440239372651529e-08,-70.73645236224168
96.8994140625,7.1884984e-05,1303.1421363190973,5.5162806058767986e-08,-72.58353649950092
107.666015625,3.8891027e-05,1303.1421363190973,2.984403766243475e-08,-75.25142420613237
118.4326171875,2.4791618e-05,1303.1421363190973,1.902449247124598e-08,-77.2068692035909
129.19921875,1.5750777e-05,1303.1421363190973,1.2086769327346657e-08,-79.17689766203073
139.9658203125,1.115573e-05,1303.1421363190973,8.560638870316293e-09,-80.67493823231773
150.732421875,8.242493e-06,1303.1421363190973,6.325090683472785e-09,-81.98933243583053
161.4990234375,6.500873e-06,1303.1421363190973,4.988613602254172e-09,-83.02020133444587
172.265625,4.8091933e-06,1303.1421363190973,3.690459550183719e-09,-84.32919550458232
183.0322265625,3.5421565e-06,1303.1421363190973,2.718165705475248e-09,-85.65724071231227
193.798828125,3.0779875e-06,1303.1421363190973,2.3619737034168707e-09,-86.2672494183026
204.5654296875,2.4352948e-06,1303.1421363190973,1.8687866430955113e-09,-87.28440278618768
215.33203125,1.8397025e-06,1303.1421363190973,1.4117435174448423e-09,-88.50244197814138
226.0986328125,1.3893014e-06,1303.1421363190973,1.066116520567444e-09,-89.72195326759739
236.865234375,1.2245807e-06,1303.1421363190973,9.39713773777836e-10,-90.27004407462127
247.6318359375,1.0191127e-06,1303.1421363190973,7.820425304980716e-10,-91.06769627683937
