freq,psd,S_P_NV_freq,SNR_linear,SNR_dB
0.0,1.3252959e-06,1303.1421363190973,1.0170001777169055e-09,-89.92678971185944
10.7666015625,8.042297e-06,1303.1421363190973,6.171466354862765e-09,-82.09611634319549
21.533203125,1.0292714e-05,1303.1421363190973,7.898381890830905e-09,-81.02461871730021
32.2998046875,6.8267213e-06,1303.1421363190973,5.238662468909732e-09,-82.80779582581306
43.06640625,3.5508313e-06,1303.1421363190973,2.7248228574244326e-09,-85.64661726247422
53.8330078125,2.3479977e-06,1303.1421363190973,1.8017970668843127e-09,-87.44294124397614
64.599609375,1.2303537e-06,1303.1421363190973,9.44143936187171e-10,-90.24961791796564
75.3662109375,5.3765245e-07,1303.1421363190973,4.125816332480084e-10,-93.84490109267819
86.1328125,2.569261e-07,1303.1421363190973,1.9715891197074527e-10,-97.05183587181978
96.8994140625,1.922477e-07,1303.1421363190973,1.4752625773053243e-10,-98.3113067410905
107.666015625,2.0547957e-07,1303.1421363190973,1.576800872906e-10,-98.0222314830614
118.4326171875,2.0502176e-07,1303.1421363190973,1.5732878049766384e-10,-98.03191823670431
129.19921875,1.8137607e-07,1303.1421363190973,1.3918364015034916e-10,-98.56411809337362
139.9658203125,1.53247e-07,1303.1421363190973,1.1759808144233787e-10,-99.29599763513303
150.732421875,1.5296581e-07,1303.1421363190973,1.1738230284504382e-10,-99.30397374605332
161.4990234375,1.5041282e-07,1303.1421363190973,1.1542319632144384e-10,-99.37706903294165
172.265625,1.637099e-07,1303.1421363190973,1.256270474323169e-10,-99.00916847175246
183.0322265625,1.8456338e-07,1303.1421363190973,1.4162950532704547e-10,-98.48846261717752
193.798828125,1.7928598e-07,1303.1421363190973,1.375797444343329e-10,-98.61445501623314
204.5654296875,1.5350288e-07,1303.1421363190973,1.1779441630187605e-10,-99.28875295514598
215.33203125,1.4038518e-07,1303.1421363190973,1.0772820897000163e-10,-99.67670560435627
226.0986328125,1.449248e-07,1303.1421363190973,1.1121181140333607e-10,-99.53849085461846
236.865234375,1.5012613e-07,1303.1421363190973,1.152031865574368e-10,-99.38535508020695
247.6318359375,1.6820759e-07,1303.1421363190973,1.2907845810241223e-10,-98.8914623107115
258.3984375,1.323578e-07,1303.1421363190973,1.0156819729945673e-10,-99.93242255629589
269.1650390625,1.5141742e-07,1303.1421363190973,1.1619409744844191e-10,-99.34815933139149
279.931640625,1.5068869e-07,1303.1421363190973,1.1563489642298877e-10,-99.36911084281257
290.6982421875,1.3036318e-07,1303.1421363190973,1.0003758364609858e-10,-99.99836806963921
301.46484375,1.3350986e-07,1303.1421363190973,1.0245226032588979e-10,-99.89478455649974
312.2314453125,1.3740355e-07,1303.1421363190973,1.0544017285474145e-10,-99.7699389078308
322.998046875,1.434162e-07,1303.1421363190973,1.1005415110457722e-10,-99.58393571758415
333.7646484375,1.3124324e-07,1303.1421363190973,1.0071291274971336e-10,-99.9691484348387
344.53125,1.2918478e-07,1303.1421363190973,9.913330262202145e-11,-100.03780425077325
355.2978515625,1.4651067e-07,1303.1421363190973,1.1242877346648998e-10,-99.49122527214124
366.064453125,1.424309e-07,1303.1421363190973,1.0929805906107465e-10,-99.61387550278565
376.8310546875,1.4960622e-07,1303.1421363190973,1.1480422461363519e-10,-99.4004213029491
387.59765625,1.545461e-07,1303.1421363190973,1.1859496831107166e-10,-99.25933736613347
398.3642578125,1.6449236e-07,1303.1421363190973,1.2622749142815292e-10,-98.98846048615675
409.130859375,1.688617e-07,1303.1421363190973,1.2958042932655143e-10,-98.87460585481575
419.8974609375,1.7730464e-07,1303.1421363190973,1.3605933792541642e-10,-98.66271646678683
430.6640625,1.9849675e-07,1303.1421363190973,1.5232163089558472e-10,-98.17238418978238
441.4306640625,2.0962294e-07,1303.1421363190973,1.6085961278417868e-10,-97.93552981051212
452.197265625,1.989604e-07,1303.1421363190973,1.5267743057688621e-10,-98.16225157444904
462.9638671875,1.8528851e-07,1303.1421363190973,1.4218596918021778e-10,-98.47143257391411
473.73046875,1.9500574e-07,1303.1421363190973,1.4964272439760807e-10,-98.24944393630227
484.4970703125,2.0826491e-07,1303.1421363190973,1.5981748078479483e-10,-97.96375719432754
495.263671875,2.0320479e-07,1303.1421363190973,1.5593448020490484e-10,-98.07057843072756
506.0302734375,2.1479133e-07,1303.1421363190973,1.6482570998868991e-10,-97.82975044851626
516.796875,2.4879486e-07,1303.1421363190973,1.90919184246922e-10,-97.19150429940704
527.5634765625,2.4091133e-07,1303.1421363190973,1.8486957549339356e-10,-97.3313455602601
538.330078125,2.4785027e-07,1303.1421363190973,1.9019436794087528e-10,-97.20802347590059
549.0966796875,2.469003e-07,1303.1421363190973,1.8946536408839097e-10,-97.22470171237464
559.86328125,2.3052121e-07,1303.1421363190973,1.7689644345591595e-10,-97.52280898593936
570.6298828125,2.6122572e-07,1303.1421363190973,2.004583277912381e-10,-96.97975896816033
581.396484375,2.8404475e-07,1303.1421363190973,2.1796912028366854e-10,-96.61605028598707
592.1630859375,2.818106e-07,1303.1421363190973,2.1625469078980964e-10,-96.65034463460671
602.9296875,3.2057716e-07,1303.1421363190973,2.4600321697380336e-10,-96.09059213608668
613.6962890625,3.0325083e-07,1303.1421363190973,2.3270738626206283e-10,-96.33189831745732
